AREA,PERIMETER,PLS10_,PLS10_ID,COUNTY_CD,MTOWN,RANGE,SECTION,SOURCE,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
497296.51616800000,3474.14542255000,2.00000000000,70402.00000000000,10,M04S,27E,20,1,-119.02168069300,37.58167967220,M,04S,M04S27E20,M04S27E,10M04S27E20,10M04S27E
22122.23005980000,716.16215871800,3.00000000000,70467.00000000000,10,M04S,27E,19,1,-119.02899694000,37.58036926410,M,04S,M04S27E19,M04S27E,10M04S27E19,10M04S27E
2477730.47817000002,6186.30293273000,4.00000000000,70496.00000000000,10,M04S,27E,29,1,-119.01807026600,37.57242759840,M,04S,M04S27E29,M04S27E,10M04S27E29,10M04S27E
1770612.67540000007,5793.71067161000,5.00000000000,70497.00000000000,10,M04S,27E,30,1,-119.03414322200,37.57093354970,M,04S,M04S27E30,M04S27E,10M04S27E30,10M04S27E
1016801.68970999995,5329.48307609000,6.00000000000,70535.00000000000,10,M04S,27E,28,1,-119.00237342800,37.56891128930,M,04S,M04S27E28,M04S27E,10M04S27E28,10M04S27E
27121.51990120000,792.40935399100,7.00000000000,70725.00000000000,10,M04S,26E,25,0,-119.04689827000,37.56607412260,M,04S,M04S26E25,M04S26E,10M04S26E25,10M04S26E
104064.48604600001,1595.53405937000,8.00000000000,70726.00000000000,10,M04S,27E,27,1,-118.98701603900,37.56603254480,M,04S,M04S27E27,M04S27E,10M04S27E27,10M04S27E
1789330.28077999991,5752.16648966000,9.00000000000,70753.00000000000,10,M04S,27E,36,1,-118.94703795400,37.55692026260,M,04S,M04S27E36,M04S27E,10M04S27E36,10M04S27E
1977716.55455000000,6448.54502702000,10.00000000000,70754.00000000000,10,M04S,27E,34,1,-118.98286106100,37.55692034740,M,04S,M04S27E34,M04S27E,10M04S27E34,10M04S27E
2682527.45027999999,6559.13961498000,11.00000000000,70756.00000000000,10,M04S,27E,33,1,-118.99979325600,37.55798139420,M,04S,M04S27E33,M04S27E,10M04S27E33,10M04S27E
2587295.75070000021,6440.31874138000,12.00000000000,70758.00000000000,10,M04S,27E,32,1,-119.01806014900,37.55800820330,M,04S,M04S27E32,M04S27E,10M04S27E32,10M04S27E
2743174.11414999980,6625.70887177000,13.00000000000,70760.00000000000,10,M04S,27E,31,1,-119.03654403700,37.55801014840,M,04S,M04S27E31,M04S27E,10M04S27E31,10M04S27E
1731802.92197000002,6229.80229633000,14.00000000000,70761.00000000000,10,M04S,27E,35,1,-118.96237049100,37.55580338860,M,04S,M04S27E35,M04S27E,10M04S27E35,10M04S27E
1670549.11557999998,5668.19858473000,15.00000000000,70764.00000000000,10,M04S,26E,36,0,-119.05295938400,37.55621941920,M,04S,M04S26E36,M04S26E,10M04S26E36,10M04S26E
57494.25058020000,1057.87024294000,16.00000000000,70966.00000000000,10,M04S,28E,31,1,-118.93487126500,37.55185690910,M,04S,M04S28E31,M04S28E,10M04S28E31,10M04S28E
31549.25385920000,859.84676246600,17.00000000000,70991.00000000000,10,M04S,26E,35,0,-119.06523467500,37.55144782160,M,04S,M04S26E35,M04S26E,10M04S26E35,10M04S26E
2631528.87729000021,6400.74067652000,18.00000000000,71006.00000000000,10,M05S,28E,05,1,-118.93801939600,37.54347955970,M,05S,M05S28E05,M05S28E,10M05S28E05,10M05S28E
3158232.38444000017,7138.45047521000,19.00000000000,71008.00000000000,10,M05S,28E,06,1,-118.95822306100,37.54353453160,M,05S,M05S28E06,M05S28E,10M05S28E06,10M05S28E
2569705.19236999983,6413.62336235000,20.00000000000,71011.00000000000,10,M05S,27E,01,0,-118.97825520800,37.54353561760,M,05S,M05S27E01,M05S27E,10M05S27E01,10M05S27E
2118090.24079000019,5816.84562368000,21.00000000000,71012.00000000000,10,M05S,28E,04,1,-118.92002015400,37.54248666690,M,05S,M05S28E04,M05S28E,10M05S28E04,10M05S28E
2585937.83448999980,6432.21333350000,22.00000000000,71017.00000000000,10,M05S,27E,02,0,-118.99632064300,37.54343732520,M,05S,M05S27E02,M05S27E,10M05S27E02,10M05S27E
