AREA,PERIMETER,PLSNET_,PLSNET_ID,COUNTY_CD,MTOWN,RANGE,SECTION,SOURCE,HYDROAREA,BASIN,REGIONNAME,FRQ_SECNBA,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,REGION,CO_MTR
2611941.78855000017,6469.75996000000,105699.00000000000,107005.00000000000,15,M25S,40E,02,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.64244000000,35.78998000000,M,25S,M25S40E02,M25S40E,15M25S40E02,6,15M25S40E
2598373.42591999983,6447.36550000000,105708.00000000000,107014.00000000000,15,M25S,40E,03,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.66024000000,35.79004000000,M,25S,M25S40E03,M25S40E,15M25S40E03,6,15M25S40E
2629026.17124000005,6481.32742000000,105716.00000000000,107022.00000000000,15,M25S,40E,04,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.67804000000,35.79013000000,M,25S,M25S40E04,M25S40E,15M25S40E04,6,15M25S40E
2582340.40028999979,6432.49948000000,105720.00000000000,107026.00000000000,15,M25S,40E,05,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.69570000000,35.79021000000,M,25S,M25S40E05,M25S40E,15M25S40E05,6,15M25S40E
2646023.46609999985,6500.07239000000,105732.00000000000,107038.00000000000,15,M25S,40E,06,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.71360000000,35.79037000000,M,25S,M25S40E06,M25S40E,15M25S40E06,6,15M25S40E
2596456.14117999980,6450.25388000000,105733.00000000000,107039.00000000000,15,M25S,39E,01,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.73151000000,35.79055000000,M,25S,M25S39E01,M25S39E,15M25S39E01,6,15M25S39E
2676129.58362999978,6502.40688000000,105742.00000000000,107048.00000000000,15,M25S,39E,02,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.74942000000,35.79051000000,M,25S,M25S39E02,M25S39E,15M25S39E02,6,15M25S39E
2660771.55763000017,6521.44098000000,105761.00000000000,107067.00000000000,15,M25S,39E,03,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.76744000000,35.79053000000,M,25S,M25S39E03,M25S39E,15M25S39E03,6,15M25S39E
2669763.36391999992,6532.14264000000,105772.00000000000,107078.00000000000,15,M25S,39E,04,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.78548000000,35.79054000000,M,25S,M25S39E04,M25S39E,15M25S39E04,6,15M25S39E
2631630.90656000003,6491.81231000000,105778.00000000000,107084.00000000000,15,M25S,39E,05,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.80340000000,35.79071000000,M,25S,M25S39E05,M25S39E,15M25S39E05,6,15M25S39E
2702054.41106999991,6584.94575000000,105781.00000000000,107087.00000000000,15,M25S,39E,06,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.82142000000,35.79093000000,M,25S,M25S39E06,M25S39E,15M25S39E06,6,15M25S39E
2562581.79536999995,6417.27039000000,105789.00000000000,107095.00000000000,15,M25S,38E,01,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.83940000000,35.79099000000,M,25S,M25S38E01,M25S38E,15M25S38E01,6,15M25S38E
2632865.29881000007,6476.92673000000,105802.00000000000,107108.00000000000,15,M25S,38E,02,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.85709000000,35.79101000000,M,25S,M25S38E02,M25S38E,15M25S38E02,6,15M25S38E
2619771.08705000021,6482.03589000000,105814.00000000000,107120.00000000000,15,M25S,38E,03,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.87491000000,35.79102000000,M,25S,M25S38E03,M25S38E,15M25S38E03,6,15M25S38E
2583757.33013000013,6430.53238000000,105822.00000000000,107128.00000000000,15,M25S,38E,04,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.89262000000,35.79111000000,M,25S,M25S38E04,M25S38E,15M25S38E04,6,15M25S38E
2708535.22589999996,6576.89665000000,105831.00000000000,107137.00000000000,15,M25S,38E,05,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.91045000000,35.79064000000,M,25S,M25S38E05,M25S38E,15M25S38E05,6,15M25S38E
2608981.90521000000,6458.34178000000,106002.00000000000,107308.00000000000,15,M25S,36E,01,1,554.22000000000,55422,CENTRAL VALLEY,1.00000000000,-118.06812000000,35.78457000000,M,25S,M25S36E01,M25S36E,15M25S36E01,5,15M25S36E
2954247.54027000023,6886.57601000000,106003.00000000000,107309.00000000000,15,M25S,37E,06,1,554.22000000000,55422,CENTRAL VALLEY,1.00000000000,-118.04890000000,35.78418000000,M,25S,M25S37E06,M25S37E,15M25S37E06,5,15M25S37E
2591579.47923999978,6439.67198000000,106011.00000000000,107317.00000000000,15,M25S,36E,02,1,554.22000000000,55422,CENTRAL VALLEY,1.00000000000,-118.08614000000,35.78445000000,M,25S,M25S36E02,M25S36E,15M25S36E02,5,15M25S36E
2967624.87674999982,6914.23208000000,106013.00000000000,107319.00000000000,15,M25S,37E,05,0,554.22000000000,55422,CENTRAL VALLEY,1.00000000000,-118.02854000000,35.78329000000,M,25S,M25S37E05,M25S37E,15M25S37E05,5,15M25S37E
2579307.99764000019,6424.08732000000,106021.00000000000,107327.00000000000,15,M25S,36E,03,1,554.22000000000,55422,CENTRAL VALLEY,1.00000000000,-118.10405000000,35.78436000000,M,25S,M25S36E03,M25S36E,15M25S36E03,5,15M25S36E
2808444.01251999987,6735.14515000000,106033.00000000000,107339.00000000000,15,M25S,37E,04,0,624.20000000000,62420,LAHONTAN,2.00000000000,-118.00830000000,35.78245000000,M,25S,M25S37E04,M25S37E,15M25S37E04,6,15M25S37E
2545739.84210000001,6382.60866000000,106036.00000000000,107342.00000000000,15,M25S,36E,04,1,554.22000000000,55422,CENTRAL VALLEY,1.00000000000,-118.12179000000,35.78424000000,M,25S,M25S36E04,M25S36E,15M25S36E04,5,15M25S36E
2648420.48252000008,6504.75402000000,106040.00000000000,107346.00000000000,15,M25S,40E,11,1,624.20000000000,62420,LAHONTAN,1.00000000000,-117.64264000000,35.77524000000,M,25S,M25S40E11,M25S40E,15M25S40E11,6,15M25S40E
