AREA,PERIMETER,PLS16_,PLS16_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS
2602519.28757,6448.38577,2,14637042,16,M17S,22E,02,-119.55450,36.48242,M,17S,M17S22E02,M17S22E,16M17S22E02
2609506.22614,6462.30670,3,14637043,16,M17S,22E,01,-119.53645,36.48243,M,17S,M17S22E01,M17S22E,16M17S22E01
2301415.83304,6006.42671,4,14637057,16,M17S,22E,03,-119.57222,36.48233,M,17S,M17S22E03,M17S22E,16M17S22E03
435121.97260,3191.73443,5,14637188,16,M17S,22E,04,-119.58492,36.47662,M,17S,M17S22E04,M17S22E,16M17S22E04
2601446.52722,6453.84456,6,14637346,16,M17S,22E,12,-119.53640,36.46795,M,17S,M17S22E12,M17S22E,16M17S22E12
764.12381,3230.67130,7,14637347,16,M17S,23E,07,-119.52742,36.46803,M,17S,M17S23E07,M17S23E,16M17S23E07
2624780.77798,6481.08929,8,14637352,16,M17S,22E,11,-119.55441,36.46783,M,17S,M17S22E11,M17S22E,16M17S22E11
2591378.66953,6436.69101,9,14637361,16,M17S,22E,10,-119.57243,36.46781,M,17S,M17S22E10,M17S22E,16M17S22E10
2364949.23749,6053.94967,10,14637374,16,M17S,22E,09,-119.59041,36.46782,M,17S,M17S22E09,M17S22E,16M17S22E09
484052.35593,3404.35046,11,14637501,16,M17S,22E,08,-119.60360,36.46250,M,17S,M17S22E08,M17S22E,16M17S22E08
2603303.67441,6455.06926,12,14637668,16,M17S,22E,13,-119.53653,36.45344,M,17S,M17S22E13,M17S22E,16M17S22E13
2472.35065,3247.91890,13,14637669,16,M17S,23E,18,-119.52757,36.44982,M,17S,M17S23E18,M17S23E,16M17S23E18
2377720.46344,6056.81244,14,14637680,16,M17S,22E,17,-119.60876,36.45357,M,17S,M17S22E17,M17S22E,16M17S22E17
2613412.10309,6466.81395,15,14637681,16,M17S,22E,16,-119.59084,36.45351,M,17S,M17S22E16,M17S22E,16M17S22E16
2576297.04953,6419.57792,16,14637684,16,M17S,22E,14,-119.55451,36.45334,M,17S,M17S22E14,M17S22E,16M17S22E14
2601881.65536,6452.97702,17,14434080,16,M17S,22E,15,-119.57261,36.45336,M,17S,M17S22E15,M17S22E,16M17S22E15
592858.74454,3738.55071,18,14637812,16,M17S,22E,18,-119.62207,36.44844,M,17S,M17S22E18,M17S22E,16M17S22E18
2600462.24878,6450.95131,19,14637986,16,M17S,22E,24,-119.53669,36.43887,M,17S,M17S22E24,M17S22E,16M17S22E24
6073.09805,3251.28792,20,14637987,16,M17S,23E,19,-119.52769,36.43887,M,17S,M17S23E19,M17S23E,16M17S23E19
2688011.31024,6540.96221,21,14434379,16,M17S,22E,21,-119.59096,36.43892,M,17S,M17S22E21,M17S22E,16M17S22E21
2659696.62939,6537.93955,22,14434380,16,M17S,22E,22,-119.57274,36.43886,M,17S,M17S22E22,M17S22E,16M17S22E22
2479846.76831,6169.89767,23,14637995,16,M17S,22E,19,-119.62662,36.43902,M,17S,M17S22E19,M17S22E,16M17S22E19
2598090.12601,6451.93027,24,14434385,16,M17S,22E,20,-119.60896,36.43896,M,17S,M17S22E20,M17S22E,16M17S22E20
2610116.70352,6461.91506,25,14434386,16,M17S,22E,23,-119.55466,36.43881,M,17S,M17S22E23,M17S22E,16M17S22E23
766043.47292,4224.69114,26,14638121,16,M17S,21E,24,-119.64043,36.43425,M,17S,M17S21E24,M17S21E,16M17S21E24
402.35251,142.24562,27,14638307,16,M17S,21E,23,-119.67081,36.43114,M,17S,M17S21E23,M17S21E,16M17S21E23
2588520.81155,6435.86386,28,14638309,16,M17S,22E,25,-119.53683,36.42433,M,17S,M17S22E25,M17S22E,16M17S22E25
