AREA,PERIMETER,PLS54_,PLS54_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
2282840.31219,6326.34495,2,86370,54,M14S,33E,03,-118.37124,36.74753,M,14S,M14S33E03,M14S33E,54M14S33E03,54M14S33E
2607249.02541,6459.04515,3,86380,54,M14S,33E,04,-118.38944,36.74760,M,14S,M14S33E04,M14S33E,54M14S33E04,54M14S33E
2569752.41188,6411.80778,4,86395,54,M14S,33E,05,-118.40753,36.74761,M,14S,M14S33E05,M14S33E,54M14S33E05,54M14S33E
2614208.16876,6462.86034,5,86410,54,M14S,33E,06,-118.42572,36.74762,M,14S,M14S33E06,M14S33E,54M14S33E06,54M14S33E
556401.85125,3893.33005,6,86509,54,M14S,33E,02,-118.35752,36.74203,M,14S,M14S33E02,M14S33E,54M14S33E02,54M14S33E
2572305.91960,6415.34053,7,86550,54,M14S,32E,01,-118.44398,36.73865,M,14S,M14S32E01,M14S32E,54M14S32E01,54M14S32E
2540143.21691,6375.11498,8,86555,54,M14S,32E,02,-118.46192,36.73865,M,14S,M14S32E02,M14S32E,54M14S32E02,54M14S32E
2611036.69274,6463.63630,9,86560,54,M14S,32E,03,-118.47998,36.73868,M,14S,M14S32E03,M14S32E,54M14S32E03,54M14S32E
2552461.93672,6390.67012,10,86562,54,M14S,32E,04,-118.49805,36.73870,M,14S,M14S32E04,M14S32E,54M14S32E04,54M14S32E
2609687.81602,6461.94667,11,86565,54,M14S,32E,05,-118.51609,36.73873,M,14S,M14S32E05,M14S32E,54M14S32E05,54M14S32E
4152277.30997,8377.76775,12,86571,54,M14S,32E,06,-118.53973,36.73874,M,14S,M14S32E06,M14S32E,54M14S32E06,54M14S32E
2437081.17521,6181.98565,13,86661,54,M14S,33E,11,-118.35314,36.73299,M,14S,M14S33E11,M14S33E,54M14S33E11,54M14S33E
2612984.42053,6465.96873,14,86667,54,M14S,33E,10,-118.37128,36.73305,M,14S,M14S33E10,M14S33E,54M14S33E10,54M14S33E
2614866.65917,6468.23913,15,86675,54,M14S,33E,09,-118.38947,36.73308,M,14S,M14S33E09,M14S33E,54M14S33E09,54M14S33E
2596520.28222,6445.55172,16,86683,54,M14S,33E,08,-118.40755,36.73311,M,14S,M14S33E08,M14S33E,54M14S33E08,54M14S33E
2664409.98669,6529.32550,17,86688,54,M14S,33E,07,-118.42575,36.73313,M,14S,M14S33E07,M14S33E,54M14S33E07,54M14S33E
1499991.22481,5018.04274,18,86740,54,M14S,31E,01,-118.56278,36.73560,M,14S,M14S31E01,M14S31E,54M14S31E01,54M14S31E
1565969.71287,5179.68232,19,86744,54,M14S,31E,02,-118.58048,36.73558,M,14S,M14S31E02,M14S31E,54M14S31E02,54M14S31E
1533582.08892,5102.51440,20,86753,54,M14S,31E,04,-118.61659,36.73552,M,14S,M14S31E04,M14S31E,54M14S31E04,54M14S31E
1544804.00587,5144.15254,21,86754,54,M14S,31E,03,-118.59867,36.73540,M,14S,M14S31E03,M14S31E,54M14S31E03,54M14S31E
1566970.39631,5175.57725,22,86757,54,M14S,31E,05,-118.63455,36.73549,M,14S,M14S31E05,M14S31E,54M14S31E05,54M14S31E
1453460.02070,4955.50418,23,86763,54,M14S,31E,06,-118.65203,36.73546,M,14S,M14S31E06,M14S31E,54M14S31E06,54M14S31E
1889427.47257,5600.52516,24,86765,54,M14S,30E,01,-118.66985,36.73474,M,14S,M14S30E01,M14S30E,54M14S30E01,54M14S30E
17054.31250,3209.59971,25,86766,54,M13S,30E,34,-118.70178,36.73958,M,13S,M13S30E34,M13S30E,54M13S30E34,54M13S30E
1796.08372,362.04508,26,86767,54,M13S,30E,35,-118.69631,36.73948,M,13S,M13S30E35,M13S30E,54M13S30E35,54M13S30E
1858501.83567,5524.11771,27,86769,54,M14S,30E,02,-118.68809,36.73480,M,14S,M14S30E02,M14S30E,54M14S30E02,54M14S30E
1871197.91186,5553.79595,28,86774,54,M14S,30E,03,-118.70616,36.73494,M,14S,M14S30E03,M14S30E,54M14S30E03,54M14S30E
1860321.41609,5581.41457,29,86773,54,M14S,30E,04,-118.72468,36.73527,M,14S,M14S30E04,M14S30E,54M14S30E04,54M14S30E
1804335.24880,5498.81716,30,86778,54,M14S,30E,05,-118.74330,36.73536,M,14S,M14S30E05,M14S30E,54M14S30E05,54M14S30E
1706176.79008,5394.76173,31,86782,54,M14S,30E,06,-118.76105,36.73518,M,14S,M14S30E06,M14S30E,54M14S30E06,54M14S30E
2374568.15056,6198.00830,32,86784,54,M14S,28E,05,-118.95600,36.73524,M,14S,M14S28E05,M14S28E,54M14S28E05,54M14S28E
2376122.83857,6137.57489,33,86785,54,M14S,28E,04,-118.93824,36.73559,M,14S,M14S28E04,M14S28E,54M14S28E04,54M14S28E
1655131.58578,5264.62419,34,86786,54,M14S,29E,01,-118.77772,36.73508,M,14S,M14S29E01,M14S29E,54M14S29E01,54M14S29E
