AREA,PERIMETER,PLS54_,PLS54_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR,PLS16_,PLS16_ID,PLSNET_,PLSNET_ID,SOURCE,HYDROAREA,BASIN,REGIONNAME,FRQ_SECNBA,REGION,PLS10_,PLS10_ID,OBJECTID,AGENCYNAME,SOURCE_1,AGENCYUNIQ,LASTMODIFI,MODIFIEDBY,SOURCECOMM,Date_Data_,GlobalID
2678829.25261,6547.51561,256,88436,54,M15S,25E,06,-119.29469,36.65452,M,15S,M15S25E06,M15S25E,54M15S25E06,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2585787.16118,6432.52619,310,88743,54,M15S,25E,07,-119.29484,36.63988,M,15S,M15S25E07,M15S25E,54M15S25E07,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2588199.66034,6436.72902,316,88759,54,M15S,25E,08,-119.27669,36.63966,M,15S,M15S25E08,M15S25E,54M15S25E08,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2602060.65296,6450.66154,368,89044,54,M15S,25E,17,-119.27706,36.62526,M,15S,M15S25E17,M15S25E,54M15S25E17,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2560385.34456,6403.37617,371,89050,54,M15S,25E,18,-119.29499,36.62534,M,15S,M15S25E18,M15S25E,54M15S25E18,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2593681.12775,6442.07050,427,89352,54,M15S,25E,21,-119.25924,36.61075,M,15S,M15S25E21,M15S25E,54M15S25E21,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2618703.53307,6474.01739,428,89353,54,M15S,25E,22,-119.24109,36.61059,M,15S,M15S25E22,M15S25E,54M15S25E22,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2554347.34620,6393.63535,429,89355,54,M15S,25E,19,-119.29508,36.61087,M,15S,M15S25E19,M15S25E,54M15S25E19,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2572479.47864,6415.25708,431,89358,54,M15S,25E,20,-119.27726,36.61077,M,15S,M15S25E20,M15S25E,54M15S25E20,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2677874.23572,6546.07681,485,89651,54,M15S,25E,28,-119.25916,36.59610,M,15S,M15S25E28,M15S25E,54M15S25E28,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
