site_code_pre_1990,site_name_pre_1990,is_orchard_crop_pre_1990,is_annual_crop_pre_1990,is_forage_pre_1990,applied_water_category_pre_1990,site_code_1990_2016,site_name_1990_2016,cc_crop_category_2016,tree_loss_price_per_acre,tree_loss_price_per_acre_year5,is_orchard_crop_1990_2016,is_annual_crop_1990_2016,is_forage_1990_2016,applied_water_category_1990_2016,,crop_name_HR_2010,AW_HR_2010,AW_HR_2009,AW_HR_2008,AW_HR_2007,AW_HR_2006,AW_HR_2005,AW_HR_2004,AW_HR_2003,AW_HR_2002,AW_HR_2001,AW_HR_2000,AW_HR_1999,AW_HR_1998,AW_HR_2010_min
990,"agency, other",,,,,-1,UNKNOWN,,,,,,,,,Year,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,2010_min
3101,alfalfa,,1,,Alfalfa,10,STRUCTURAL PEST CONTROL,,,,,,,,,HR_Number,7,7,7,7,7,7,7,7,7,7,7,7,7,7
3110,alfalfa sprouts,,1,,Alfalfa,30,LANDSCAPE MAINTENANCE,,,,,,,,,HR_Name,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake,Tulare Lake
4101,almond,1,,,Al Pist,40,RIGHTS OF WAY,,,,,,,,,Grain,1.519072388,2.33,0,2.33,1.36,1.07,2.04,1.6,2.09,1.68,1.61,1.72,0.38,0.759536194
5401,anise,,1,,Oth Trk ,50,PUBLIC HEALTH,,,,,,,,,Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,apple,1,,,Oth Dec,60,COUNTY AG COMM,,,,,,,,,Cotton,3.003518948,3.42,0,3.28,2.93,2.68,3.12,2.94,3.2,3.13,2.97,2.56,2.37,1.501759474
2301,apricot,1,,,Oth Dec,80,VERTEBRATE CONTROL,,,,,,,,,SgrBeet,2.817321984,3.05,0,4.22,2.69,2.22,3.13,2.69,3.22,2.91,2.34,2.51,1.66,1.408660992
1231,artichoke,,1,,Oth Trk ,90,COMMODITY FUMIGATION,,,,,,,,,Corn,3.130742668,3.49,0,3.3,2.93,2.87,3.28,3.05,3.25,3.48,2.79,2.36,2.53,1.565371334
1232,asparagus,,1,,Oth Trk ,91,"FUMIGATION, OTHER",,,,,,,,,DryBean,2.749788226,3.01,0,3.05,2.66,2.43,2.88,2.71,2.81,2.74,2.19,1.55,2.23,1.374894113
2401,avocado,1,,,Subtrop,99,RESEARCH COMMODITY,,,,,,,,,Safflwr,2.37644,2.91,0,2.65,2.12,2,2.62,1.16,1.42,1.69,2.28,1.85,0.76,1.18822
2411,banana,1,,,Subtrop,100,REGULATORY PEST CONTROL,,,,,,,,,Oth Fld,2.666243579,3.08,0,2.99,2.63,2.51,2.93,2.74,2.96,3.06,2.9,2.02,2.13,1.33312179
3301,barley,,1,,Grain,151,N-GRNHS FLOWER,,,,,,,,,Alfalfa,4.96270497,5.62,0,5.12,4.43,4.35,5.19,4.91,5.18,5.15,4.82,4.97,3.62,2.481352485
1331,bean,,1,,DryBean,152,N-OUTDR FLOWER,,,,,,,,,Pasture,4.653607349,5.48,0,5.05,4.25,4.29,5.22,4.69,5.16,4.93,4.62,4.91,3.84,2.326803675
1330,"bean, general",,1,,DryBean,153,N-GRNHS PLANTS IN CONTAINERS,,,,,,,,,Pro Tom,2.323413466,2.94,0,2.75,2.31,1.99,2.5,2.3,2.44,2.58,2.43,0,2.16,1.161706733
1335,"bean, green",,1,,Oth Trk ,154,N-OUTDR PLANTS IN CONTAINERS,,,,,,,,,Fr Tom,1.762147547,2.41,0,2.48,1.72,1.46,2.06,1.64,2.15,2.5,2.42,0,1.88,0.881073774
1336,"bean, lima",,1,,DryBean,155,N-GRNHS TRANSPLANTS,,,,,,,,,Cucurb,1.737817402,2.41,0,2.31,1.86,1.41,2.08,1.79,2.18,2.41,2.22,0,1.88,0.868908701
1337,bean sprouts,,1,,Oth Trk ,156,N-OUTDR TRANSPLANTS,,,,,,,,,On Gar,2.728661174,3.46,0,3.42,2.58,2.29,2.97,2.46,2.96,3.24,3.53,0,2.68,1.364330587
1111,beet,,1,,SgrBeet,1000,SMALL FRUITS/BERRY,,,,,,,,,Potato,1.724831242,2.28,0,2.24,1.4,1.33,2.1,1.71,2.29,2.36,2.21,0,1.75,0.862415621
2502,"berry, other",1,,,SgrBeet,1002,BLACKBERRY,,6803.221477,16954.63,1,,,Oth Trk ,,Oth Trk ,1.255516009,1.63,0,1.52,1.29,0.89,1.42,1.32,1.5,1.64,1.74,0,1.47,0.627758005
3102,birdsfoot/trefoil,,,,,1003,BOYSENBERRY,,6803.221477,16954.63,1,,,Oth Trk ,,Al Pist,4.042999016,4.57,0,4.18,3.79,3.59,4.25,3.99,4.29,3.83,4.09,4.15,3.03,2.021499508
2504,blueberry,1,,,SgrBeet,1004,DEWBERRY,,6803.221477,16954.63,1,,,Oth Trk ,,Oth Dec,3.781745562,4.46,0,4.18,3.54,3.4,4.16,3.8,4.09,3.91,3.71,3.91,2.7,1.890872781
2505,boysenberry,1,,,SgrBeet,1005,LOGANBERRY,,6803.221477,16954.63,1,,,Oth Trk ,,Subtrop,3.147028327,3.72,0,3.48,2.8,2.71,3.45,3.09,3.37,3.33,3.02,3.06,1.97,1.573514164
2506,bushberry,1,,,SgrBeet,1006,RASPBERRY,,6803.221477,16954.63,1,,,Oth Trk ,,Vine,2.614801406,3.06,0,2.95,2.55,2.37,2.86,2.6,2.85,2.6,2.31,2.67,1.59,1.307400703
1221,broccoli,,1,,Oth Trk ,1009,BLUEBERRY,BERRIES BLUEBERRIES,34725.55,45056.51,1,,,Oth Trk ,,,,,,,,,,,,,,,,
1222,Brussels sprouts,,1,,Oth Trk ,1010,CRANBERRY,,6803.221477,16954.63,1,,,Oth Trk ,,,,,,,,,,,,,,,,
8000,building,,,,,1013,GOOSEBERRY,,6803.221477,16954.63,1,,,Oth Trk ,,,,,,,,,,,,,,,,
7600,bulbs,,1,,On Gar,1016,STRAWBERRY,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1223,cabbage,,1,,Oth Trk ,1023,BUSHBERRY,,,,1,,,Oth Trk ,,,,,,,,,,,,,,,,
1253,cactus leaf,1,,,Subtrop,2000,CITRUS,ORANGES NAVEL,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
1254,cactus pear,1,,,Subtrop,2002,GRAPEFRUIT,GRAPEFRUIT ALL,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
1218,cardoon,,1,,Oth Trk ,2003,KUMQUAT,,,,1,,,Subtrop,,,,,,,,,,,,,,,,
1112,carrot,,1,,Oth Trk ,2004,LEMON,LEMONS ALL,11355.64,34009.23,1,,,Subtrop,,,,,,,,,,,,,,,,
4201,castorbean,,1,,Oth Trk ,2005,LIME,,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
6101,cattle,,,,,2006,ORANGE,ORANGES NAVEL,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
1224,cauliflower,,1,,Oth Trk ,2007,TANGELO,TANGERINES & MANDARINS,13560.51,41630.8,1,,,Subtrop,,,,,,,,,,,,,,,,
1235,celeriac,,1,,Oth Trk ,2008,TANGERINE,TANGERINES & MANDARINS,13560.51,41630.8,1,,,Subtrop,,,,,,,,,,,,,,,,
1233,celery,,1,,Oth Trk ,3000,NUTS,,6803.221477,16954.63,1,,,Oth Dec,,,,,,,,,,,,,,,,
1217,"chard, Venetian",,1,,Oth Trk ,3001,ALMOND,ALMONDS ALL,8951.57,29748.28,1,,,Al Pist,,,,,,,,,,,,,,,,
1346,cherimoya,1,,,Subtrop,3003,CASHEW,,6803.221477,16954.63,1,,,Oth Dec,,,,,,,,,,,,,,,,
1255,chayote,,1,,Cucurb,3004,CHESTNUT,,6803.221477,16954.63,1,,,Oth Dec,,,,,,,,,,,,,,,,
2302,cherry,1,,,Oth Dec,3008,PECAN,PECANS,6803.221477,16954.63,1,,,Oth Dec,,,,,,,,,,,,,,,,
4102,chestnut,1,,,Oth Dec,3009,WALNUT,WALNUTS ENGLISH,9059.19,30261.63,1,,,Oth Dec,,,,,,,,,,,,,,,,
6201,chicken,,,,,3011,PISTACHIO,PISTACHIOS,10577.2,33138.13,1,,,Al Pist,,,,,,,,,,,,,,,,
5205,chicory,,1,,Oth Trk ,4000,POME FRUIT,,15606.93,29187.89,1,,,Oth Dec,,,,,,,,,,,,,,,,
1251,Chinese greens,,1,,Oth Trk ,4001,APPLE,APPLES ALL,15606.93,29187.89,1,,,Oth Dec,,,,,,,,,,,,,,,,
1211,chive,,1,,Oth Trk ,4003,PEAR,PEARS UNSPECIFIED,5159.96,11780.83,1,,,Oth Dec,,,,,,,,,,,,,,,,
1252,chop suey,,,,Oth Trk ,4004,QUINCE,QUINCE,6803.221477,16954.63,1,,,Oth Dec,,,,,,,,,,,,,,,,
1256,cilantro,,1,,Oth Trk ,5000,STONE FRUIT,PEACHES CLINGSTONE,4973.99,13421.51,1,,,Oth Dec,,,,,,,,,,,,,,,,
2100,citrus,1,,,Subtrop,5001,APRICOT,APRICOTS ALL,6803.221477,16954.63,1,,,Oth Dec,,,,,,,,,,,,,,,,
2105,"citrus, other",1,,,Subtrop,5002,CHERRY,CHERRIES SWEET,12343.11,35314.83,1,,,Oth Dec,,,,,,,,,,,,,,,,
6,city agency,,,,,5003,NECTARINE,NECTARINES,7925.94,17397.22,1,,,Oth Dec,,,,,,,,,,,,,,,,
991,city agency,,,,,5004,PEACH,PEACHES FREESTONE,7925.94,17397.22,1,,,Oth Dec,,,,,,,,,,,,,,,,
3103,clover,,1,,Pasture,5005,PLUM,PLUMS,8241.73,18197.14,1,,,Oth Dec,,,,,,,,,,,,,,,,
2412,coconut,1,,,Subtrop,5006,PRUNE,PLUMS DRIED,6459.48,15783.25,1,,,Oth Dec,,,,,,,,,,,,,,,,
1257,colabraise,,1,,Oth Trk ,6000,TROPICAL/SUBTROPICAL FRUIT,,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
1220,cole crop,,1,,Oth Trk ,6002,BANANA,,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
1236,cole slaw,,1,,Oth Trk ,6004,DATE,,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
1225,collard,,1,,Oth Trk ,6005,FIG,,6803.221477,16954.63,1,,,Oth Dec,,,,,,,,,,,,,,,,
7301,conifer,1,,,Oth Trk ,6007,MANGO,,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
3302,corn,,1,,Corn,6010,PAPAYA,,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
